Atom	Chemical Shift	HSQC	HMBC	COSY	
1  C	28.17	18, 19, 20			
2  C	80.11		18, 19, 20, 21, 22, 23, 24, 25, 26		
3  C	28.17	21, 22, 23			
4  C	28.17	24, 25, 26			
5  O					
6  C	156.15				
7  O					
8  N					
9  C	52.91	28	29, 30, 31, 32		
10  C	28.32	29, 30	28, 31, 32		
11  C	31.58	31, 32	28, 29, 30		
12  C	176.36		29, 30, 31, 32		
13  N					
14  O					
15  C	174.34		28, 29, 30, 31, 32		
16  O					
17  O					
18  H	1.38	1	2		
19  H	1.38	1	2		
20  H	1.38	1	2		
21  H	1.38	3	2		
22  H	1.38	3	2		
23  H	1.38	3	2		
24  H	1.38	4	2		
25  H	1.38	4	2		
26  H	1.38	4	2		
27  H	5.79			28	
28  H	4.17	9	10, 11, 15	27	
29  H	1.91	10	9, 11, 12, 15	30, 31, 32	
30  H	2.10	10	9, 11, 12, 15	29, 31, 32	
31  H	2.28	11	9, 10, 12, 15	29, 30	
32  H	2.28	11	9, 10, 12, 15	29, 30	
33  H	6.96				
34  H	6.27				
35  H	4.32				
