Atom	Chemical Shift	HSQC	HMBC	COSY	
1  Cl					
2  C	64.34	15			
3  C	141.11		15, 16, 20, 21, 25		
4  C	127.79	16	15		
5  C	128.49	17	16, 18, 20		
6  C	128.14	18	16, 17, 19, 20		
7  C	128.49	19	20		
8  C	127.79	20	15		
9  C	141.11		16, 20, 21, 25		
10  C	127.79	21	15		
11  C	128.49	22	21, 23, 25		
12  C	128.14	23	21, 22, 24, 25		
13  C	128.49	24	21, 23, 25		
14  C	127.79	25	15		
15  H	6.19	2	3, 4, 8, 10, 14		
16  H	7.47	4	3, 5, 6, 9	17	
17  H	7.40	5	6	16, 18	
18  H	7.35	6	5	17, 19	
19  H	7.40	7	6	18, 20	
20  H	7.47	8	3, 5, 6, 7, 9	19	
21  H	7.47	10	3, 9, 11, 12, 13	22	
22  H	7.40	11	12	21	
23  H	7.35	12	11, 13	24	
24  H	7.40	13	12	23, 25	
25  H	7.47	14	3, 9, 11, 12, 13	24	
