Atom	Chemical Shift	HSQC	HMBC	COSY	
1  C	51.33	11			
2  O					
3  C	174.51		10, 11, 12, 13, 14, 15, 16		
4  O					
5  C	32.17	13, 14	15, 16, 17		
6  C	33.75	15, 16	13, 14, 17, 18, 19, 20, 21, 22, 23		
7  C	27.88	17	13, 14, 15, 16, 18, 19, 20, 21, 22, 23		
8  C	21.99	18, 19, 20	15, 16, 17		
9  C	21.99	21, 22, 23	16		
10  H	3.67		3		
11  H	3.67	1	3		
12  H	3.67		3		
13  H	2.32	5	3, 6, 7	15, 16, 17	
14  H	2.32	5	3, 6, 7	15, 16, 17	
15  H	1.54	6	3, 5, 7, 8	13, 14, 18, 19, 20, 21, 22, 23	
16  H	1.54	6	3, 5, 7, 8, 9	13, 14, 18, 19, 20, 21, 22, 23	
17  H	1.58	7	5, 6, 8	13, 14	
18  H	0.91	8	6, 7	15, 16	
19  H	0.91	8	6, 7	15, 16	
20  H	0.91	8	6, 7	15, 16	
21  H	0.91	9	6, 7	15, 16	
22  H	0.91	9	6, 7	15, 16	
23  H	0.91	9	6, 7	15, 16	
