Atom	Chemical Shift	HMBC	HSQC	COSY	
1  N					
2  C	117.84				
3  C	110.24	14, 19			
4  C	133.42		13		
5  C	124.98		14		
6  C	132.71		15		
7  C	132.40				
8  C	128.67	18	16		
9  C	127.62	19	17		
10  C	128.67		18		
11  C	125.16	17	19		
12  C	132.96	19			
13  H	8.11		4	14	
14  H	7.55	3	5	13	
15  H	7.93		6		
16  H	7.94		8	17	
17  H	7.65	11	9	16	
18  H	7.72	8	10	19	
19  H	8.27	3, 9, 12	11	18	
