Atom	Chemical Shift	HMBC	HSQC	COSY	
1  C	20.79	10, 11, 12, 14	6, 7, 8		
2  C	30.94	6, 7, 8, 10, 11, 12, 13, 14	9		
3  C	20.79	6, 7, 8, 9, 13, 14	10, 11, 12		
4  C	52.53	6, 7, 8, 9, 10, 11, 12	13, 14		
5  Cl					
6  H	1.01	2, 3, 4	1	9	
7  H	1.01	2, 3, 4	1	9	
8  H	1.01	2, 3, 4	1	9	
9  H	1.99	3, 4	2	6, 7, 8, 10, 11, 12, 13, 14	
10  H	1.03	1, 2, 4	3	9	
11  H	1.03	1, 2, 4	3	9	
12  H	1.03	1, 2, 4	3	9	
13  H	3.42	2, 3	4	9	
14  H	3.41	1, 2, 3	4	9	
