Atom	Chemical Shift	HMBC	HSQC	COSY	
1  C	123.67	34, 35	33		
2  C	131.92	33, 34, 35, 38			
3  C	123.67	35	34		
4  C	140.08	34, 35, 38			
5  C	118.48	34	35		
6  C	131.92	34, 35			
7  C	123.06	33, 35			
8  F					
9  F					
10  F					
11  N					
12  C	180.40				
13  S					
14  N					
15  C	140.08	38, 40			
16  C	118.48	40	38		
17  C	131.92	38, 39, 40			
18  C	123.67	38, 40	39		
19  C	131.92	38, 39, 40			
20  C	123.67	38	40		
21  C	123.06	40			
22  F					
23  F					
24  F					
25  C	123.06	38, 39, 40			
26  F					
27  F					
28  F					
29  C	123.06	33, 34			
30  F					
31  F					
32  F					
33  H	8.08	2, 7, 29	1	35	
34  H	8.08	1, 2, 4, 5, 6, 29	3	35	
35  H	7.66	1, 2, 3, 4, 6, 7	5	33, 34	
36  H	2.95				
37  H	2.95				
38  H	7.66	2, 4, 15, 17, 18, 19, 20, 25	16	39, 40	
39  H	8.08	17, 19, 25	18	38	
40  H	8.08	15, 16, 17, 18, 19, 21, 25	20	38	
