Atom	Chemical Shift	HMBC	HSQC	COSY	
1  C	13.80	10, 11, 12, 13	7, 8, 9		
2  C	22.29	7, 8, 9, 10, 12, 13, 14, 15	10, 11		
3  C	24.16	7, 8, 9, 10, 11, 14, 15	12, 13		
4  C	43.60	10, 11, 12, 13, 16	14		
5  C	202.97	12, 13, 14, 15			
6  O					
7  H	0.93	2, 3	1	10, 11	
8  H	0.93	2, 3	1	10, 11	
9  H	0.93	2, 3	1	10, 11	
10  H	1.37	1, 2, 3, 4	2	7, 8, 9, 12, 13	
11  H	1.37	1, 3, 4	2	7, 8, 9, 12, 13	
12  H	1.63	1, 2, 4, 5	3	10, 11, 14, 15	
13  H	1.63	1, 2, 4, 5	3	10, 11, 14, 15	
14  H	2.44	2, 3, 5	4	12, 13	
15  H	2.44	2, 3, 5		12, 13	
16  H	9.79	4			
