Atom	Chemical Shift	HMBC	HSQC	COSY	
1  C	127.76	26, 27	24		
2  C	128.55	24	25		
3  C	127.26	24	26		
4  C	137.23	25, 28, 29, 30			
5  C	127.26	24	27		
6  C	128.55	24	28		
7  C	68.38	26, 27	29, 30		
8  O					
9  C	161.25				
10  N					
11  C	157.70				
12  C	95.99				
13  C	143.96		31		
14  C	103.71		32		
15  Br					
16  O					
17  C	68.20		33, 34		
18  C	137.16	33, 34			
19  C	127.79		35		
20  C	128.48		36		
21  C	127.96		37		
22  C	128.48		38		
23  C	127.79		39		
24  H	7.44	2, 3, 5, 6	1	28	
25  H	7.41	4	2	26	
26  H	7.49	1, 7	3	25	
27  H	7.49	1, 7	5	28	
28  H	7.41	4	6	24, 27	
29  H	5.46	4	7		
30  H	5.46	4	7		
31  H	7.70		13	32	
32  H	6.35		14	31	
33  H	5.34	18	17		
34  H	5.34	18	17		
35  H	7.35		19	36	
36  H	7.41		20	35, 37	
37  H	7.35		21	36	
38  H	7.41		22	39	
39  H	7.35		23	38	
