Atom	Chemical Shift	HMBC	HSQC	COSY	
1  C	117.07	22, 23	19, 20		
2  C	134.47	19, 20, 22, 23	21		
3  C	68.03	19, 20, 21	22, 23		
4  O					
5  C	68.03		24		
6  O					
7  C	68.03	27, 28, 29	25, 26		
8  C	134.47	25, 26, 28, 29	27		
9  C	117.07	25, 26	28, 29		
10  C	68.03		30		
11  O					
12  C	68.03	33, 34, 35	31, 32		
13  C	134.47	31, 32, 34, 35	33		
14  C	117.07	31, 32	34, 35		
15  O					
16  C	68.03	38, 39, 40	36, 37		
17  C	134.47	36, 37, 39, 40	38		
18  C	117.07	36, 37	39, 40		
19  H	5.31	2, 3	1	21	
20  H	5.20	2, 3	1	21	
21  H	5.94	3	2	19, 20, 22, 23	
22  H	4.16	1, 2	3	21	
23  H	4.16	1, 2	3	21	
24  H	4.16		5		
25  H	4.16	8, 9	7	27	
26  H	4.16	8, 9	7	27	
27  H	5.94	7	8	25, 26, 28, 29	
28  H	5.20	7, 8	9	27	
29  H	5.20	7, 8	9	27	
30  H	4.16		10		
31  H	4.16	13, 14	12	33	
32  H	4.16	13, 14	12	33	
33  H	5.94	12	13	31, 32, 34, 35	
34  H	5.20	12, 13	14	33	
35  H	5.20	12, 13	14	33	
36  H	4.16	17, 18	16	38	
37  H	4.16	17, 18	16	38	
38  H	5.94	16	17	36, 37, 39, 40	
39  H	5.20	16, 17	18	38	
40  H	5.20	16, 17	18	38	
