Atom	Chemical Shift	HMBC	HSQC	COSY	
1  C	12.13	13, 16, 17, 18	15		
2  C	26.30	13, 14, 15, 18	16, 17		
3  C	53.36	13, 14, 15, 16, 17, 20, 24	18		
4  C	180.45	16, 17, 18			
5  O					
6  O					
7  C	138.38	16, 17, 18, 20, 21, 23, 24			
8  C	128.12	18, 21, 23	20		
9  C	128.66	20, 24	21		
10  C	127.44	20, 21, 23, 24	22		
11  C	128.66	24	23		
12  C	128.12	23	24		
13  H	0.95	1, 2, 3		16, 17	
14  H	0.95	2, 3		16, 17	
15  H	0.95	2, 3	1	16, 17	
16  H	1.85	1, 3, 4, 7	2	13, 14, 15, 18	
17  H	2.15	1, 3, 4, 7	2	13, 14, 15	
18  H	3.49	1, 2, 4, 7, 8	3	16	
19  H	11.78				
20  H	7.35	3, 7, 9, 10	8	21	
21  H	7.35	7, 8, 10	9	20	
22  H	7.30		10	23	
23  H	7.35	7, 8, 10, 12	11	22, 24	
24  H	7.35	3, 7, 9, 10, 11	12	23	
